review_id,clean_text,metadata_json
81dffbc6cd09f3e2782f,love myntra,"{""review_id"": ""81dffbc6cd09f3e2782f"", ""source"": ""play_store""}"
32ad63af1153816dba0c,Good product quality,"{""review_id"": ""32ad63af1153816dba0c"", ""source"": ""play_store""}"
6ccc0cff8070e1595bf5,very good product,"{""review_id"": ""6ccc0cff8070e1595bf5"", ""source"": ""play_store""}"
38e06ec3c5555a30075b,very good app & offer briliant,"{""review_id"": ""38e06ec3c5555a30075b"", ""source"": ""play_store""}"
9a639077d6b0d31c4019,experience is good 😊,"{""review_id"": ""9a639077d6b0d31c4019"", ""source"": ""play_store""}"
09cfc398d3944c389ca2,loved shopping on Myntra.,"{""review_id"": ""09cfc398d3944c389ca2"", ""source"": ""play_store""}"
241003c3b475616c3ce8,all over good,"{""review_id"": ""241003c3b475616c3ce8"", ""source"": ""play_store""}"
84e985283af3c88d8a4c,best appp cheapest,"{""review_id"": ""84e985283af3c88d8a4c"", ""source"": ""play_store""}"
406a6be097a4988d78e7,good febric,"{""review_id"": ""406a6be097a4988d78e7"", ""source"": ""play_store""}"
3e30e586266ef07cbee2,very nice👌,"{""review_id"": ""3e30e586266ef07cbee2"", ""source"": ""play_store""}"
6130defcf47a033815bb,nice app..,"{""review_id"": ""6130defcf47a033815bb"", ""source"": ""play_store""}"
d6386ffa6120ce4c1be8,best app love it,"{""review_id"": ""d6386ffa6120ce4c1be8"", ""source"": ""play_store""}"
10896908d7af9aae7b31,very good product of arrow,"{""review_id"": ""10896908d7af9aae7b31"", ""source"": ""play_store""}"
336c7fcc4a1531ad5113,the app is very nice,"{""review_id"": ""336c7fcc4a1531ad5113"", ""source"": ""play_store""}"
83c0d2d0f3dea67e56cf,"Excellent fashion app Incredible collection for every occasion and budget. The deals during sales are unbeatable, and the quality of products has always been reliable. Seamless browsing and fast delivery!","{""review_id"": ""83c0d2d0f3dea67e56cf"", ""source"": ""play_store""}"
98a3d0d16a0ef975852b,justttt superb,"{""review_id"": ""98a3d0d16a0ef975852b"", ""source"": ""play_store""}"
0853080cc39f23e90107,I always had an amazing experience...,"{""review_id"": ""0853080cc39f23e90107"", ""source"": ""play_store""}"
ef90c713f9c7a0eef7db,"worst customer support ever, i had payment error in myntra app but the transaction was successfull. they stole my money and now from last 16 days constantly saying wait for 48hrs even after i have sent them banking tracking number. such a careless people.","{""review_id"": ""ef90c713f9c7a0eef7db"", ""source"": ""play_store""}"
02c8f079c0c73e4e8130,very stylish products at reasonable price,"{""review_id"": ""02c8f079c0c73e4e8130"", ""source"": ""play_store""}"
0ccca4372f4fbe0c36ec,And I have ordered so much time so many things but you were always say that delivery attempt failed and then always I waited for to reach the delivery to me but at the end you always cancelled my order so this much poor you delivery attempt and you all guys of myntra you have never reach to me by taking my order but still you all say that you aren't there to receive your order but the delivery agent never make sure to call me or you never texted me that your delivery has reached on WhatsApp or n,"{""review_id"": ""0ccca4372f4fbe0c36ec"", ""source"": ""play_store""}"
6cbb188767a69e2d9fe0,good service ❤️,"{""review_id"": ""6cbb188767a69e2d9fe0"", ""source"": ""play_store""}"
1c5a559ecc3cf4f91681,doing lots of efforts to improve the service and give you best output,"{""review_id"": ""1c5a559ecc3cf4f91681"", ""source"": ""play_store""}"
657b3af2103b518d302f,Products are the best on myntra nd delivery is also good,"{""review_id"": ""657b3af2103b518d302f"", ""source"": ""play_store""}"
1c7c2f9746488befe569,bad service....,"{""review_id"": ""1c7c2f9746488befe569"", ""source"": ""play_store""}"
0f631a82950c5126ed04,good product,"{""review_id"": ""0f631a82950c5126ed04"", ""source"": ""play_store""}"
034b77421e197fd998f9,very good platform to buy clothes online,"{""review_id"": ""034b77421e197fd998f9"", ""source"": ""play_store""}"
80dea81da1331d9764f3,it contains so much money 💰,"{""review_id"": ""80dea81da1331d9764f3"", ""source"": ""play_store""}"
1bd337fc6375f8f2ebeb,"I have great experience with myntra, they have best services..😚","{""review_id"": ""1bd337fc6375f8f2ebeb"", ""source"": ""play_store""}"
710c99064396b77be32c,easy to order and the service are great,"{""review_id"": ""710c99064396b77be32c"", ""source"": ""play_store""}"
9c579e2963832d94cdc1,good app. efficient returns and deliveries. Go for it.,"{""review_id"": ""9c579e2963832d94cdc1"", ""source"": ""play_store""}"
367b029cb4765d3f4a15,"Wide range of brands, from budget to premium.","{""review_id"": ""367b029cb4765d3f4a15"", ""source"": ""play_store""}"
09eb783e9ec64c4d9877,super amazing and beautiful article,"{""review_id"": ""09eb783e9ec64c4d9877"", ""source"": ""play_store""}"
5e7b8813b33f8ce0fd19,always satisfied this app,"{""review_id"": ""5e7b8813b33f8ce0fd19"", ""source"": ""play_store""}"
3d5da64ed15229c0be75,good quality product,"{""review_id"": ""3d5da64ed15229c0be75"", ""source"": ""play_store""}"
3b8890b63a34c3d24a01,I had best experience in buying Branded products and returning if there are size issues or product is not up to the mark. refund is also quick,"{""review_id"": ""3b8890b63a34c3d24a01"", ""source"": ""play_store""}"
677ed56ec47923cc29a8,Awesome...,"{""review_id"": ""677ed56ec47923cc29a8"", ""source"": ""play_store""}"
9d8c09024f3f2fd04e36,use this for good quality product,"{""review_id"": ""9d8c09024f3f2fd04e36"", ""source"": ""play_store""}"
378f338c12f2e5c8b570,"I ordered a Sujata Mixer Grinder Juicer from Myntra, but they delivered an old product in old and damaged packaging. I raised a return request immediately, but for the last 17 days Myntra has been showing ""Return Pickup Failed,"" while Delhivery keeps marking it as ""Failed RVP QC"" or ""Failed QC"" or ""No one available"" even though no pickup executive has ever visited my address or called me. False updates and poor customer support have completely destroyed my trust in both Myntra and Delhivery.","{""review_id"": ""378f338c12f2e5c8b570"", ""source"": ""play_store""}"
e69ea4a4bf4968fc2cb3,very good app and also solve issue immediately,"{""review_id"": ""e69ea4a4bf4968fc2cb3"", ""source"": ""play_store""}"
f3fa952a32f0d6521eca,platform fee is high and unnecessary,"{""review_id"": ""f3fa952a32f0d6521eca"", ""source"": ""play_store""}"
8273e7b0b9cf5f11fe2f,worst app ever,"{""review_id"": ""8273e7b0b9cf5f11fe2f"", ""source"": ""play_store""}"
0da421ca34bf52a9824a,good app for clothes,"{""review_id"": ""0da421ca34bf52a9824a"", ""source"": ""play_store""}"
a3819eee98ca5bcadc4d,"Terrible customer service. Their delivery executive picked up my return and has lost it in transit. Because of that they are refusing to provide me refund. Customer service only give standard responses, and are only trained for how fast they can close the tickets. ZERO ACCOUNTABILITY. Never using this app again.","{""review_id"": ""a3819eee98ca5bcadc4d"", ""source"": ""play_store""}"
ca38cdde5644b366627f,Easy to use app with great offers,"{""review_id"": ""ca38cdde5644b366627f"", ""source"": ""play_store""}"
9940d260f89e424fa4d1,wide variety of products at just affordable price,"{""review_id"": ""9940d260f89e424fa4d1"", ""source"": ""play_store""}"
db1a48e4d86ab46d461a,"Fraud. Sent me wrong item. When raised return query, Myntra refused. Filed a complaint on consumer redressal mechanism of Consumer Affairs Ministey.","{""review_id"": ""db1a48e4d86ab46d461a"", ""source"": ""play_store""}"
7579904bad63ac418581,Myntra is very nice app,"{""review_id"": ""7579904bad63ac418581"", ""source"": ""play_store""}"
801c23d4e570e20e9815,perfect shopping app,"{""review_id"": ""801c23d4e570e20e9815"", ""source"": ""play_store""}"
